,Survived,Pclass,Sex,Age,SibSp,Parch,Embarked
0,0,3,0,1,1,0,0
1,1,1,1,2,1,0,1
2,1,3,1,1,0,0,0
3,1,1,1,2,1,0,0
4,0,3,0,2,0,0,0
5,0,3,0,1,0,0,2
6,0,1,0,3,0,0,0
7,0,3,0,0,3,1,0
8,1,3,1,1,0,2,0
9,1,2,1,0,1,0,1
10,1,3,1,0,1,1,0
11,1,1,1,3,0,0,0
12,0,3,0,1,0,0,0
13,0,3,0,2,1,5,0
14,0,3,1,0,0,0,0
15,1,2,1,3,0,0,0
16,0,3,0,0,4,1,2
17,1,2,0,1,0,0,0
18,0,3,1,1,1,0,0
19,1,3,1,1,0,0,1
20,0,2,0,2,0,0,0
21,1,2,0,2,0,0,0
22,1,3,1,0,0,0,2
23,1,1,0,1,0,0,0
24,0,3,1,0,3,1,0
25,1,3,1,2,1,5,0
26,0,3,0,1,0,0,1
27,0,1,0,1,3,2,0
28,1,3,1,1,0,0,2
29,0,3,0,1,0,0,0
30,0,1,0,2,0,0,1
31,1,1,1,2,1,0,1
32,1,3,1,1,0,0,2
33,0,2,0,4,0,0,0
34,0,1,0,1,1,0,1
35,0,1,0,2,1,0,0
36,1,3,0,1,0,0,1
37,0,3,0,1,0,0,0
38,0,3,1,1,2,0,0
39,1,3,1,0,1,0,1
40,0,3,1,2,1,0,0
41,0,2,1,1,1,0,0
42,0,3,0,1,0,0,1
43,1,2,1,0,1,2,1
44,1,3,1,1,0,0,2
45,0,3,0,1,0,0,0
46,0,3,0,1,1,0,2
47,1,3,1,1,0,0,2
48,0,3,0,1,2,0,1
49,0,3,1,1,1,0,0
50,0,3,0,0,4,1,0
51,0,3,0,1,0,0,0
52,1,1,1,3,1,0,1
53,1,2,1,1,1,0,0
54,0,1,0,4,0,1,1
55,1,1,0,2,0,0,0
56,1,2,1,1,0,0,0
57,0,3,0,1,0,0,1
58,1,2,1,0,1,2,0
59,0,3,0,0,5,2,0
60,0,3,0,1,0,0,1
61,1,1,1,2,0,0,0
62,0,1,0,2,1,0,0
63,0,3,0,0,3,2,0
64,0,1,0,2,0,0,1
65,1,3,0,1,1,1,1
66,1,2,1,1,0,0,0
67,0,3,0,1,0,0,0
68,1,3,1,1,4,2,0
69,0,3,0,1,2,0,0
70,0,2,0,1,0,0,0
71,0,3,1,0,5,2,0
72,0,2,0,1,0,0,0
73,0,3,0,1,1,0,1
74,1,3,0,1,0,0,0
75,0,3,0,1,0,0,0
76,0,3,0,1,0,0,0
77,0,3,0,1,0,0,0
78,1,2,0,0,0,2,0
79,1,3,1,1,0,0,0
80,0,3,0,1,0,0,0
81,1,3,0,1,0,0,0
82,1,3,1,1,0,0,2
83,0,1,0,1,0,0,0
84,1,2,1,1,0,0,0
85,1,3,1,2,3,0,0
86,0,3,0,0,1,3,0
87,0,3,0,1,0,0,0
88,1,1,1,1,3,2,0
89,0,3,0,1,0,0,0
90,0,3,0,1,0,0,0
91,0,3,0,1,0,0,0
92,0,1,0,2,1,0,0
93,0,3,0,1,1,2,0
94,0,3,0,3,0,0,0
95,0,3,0,1,0,0,0
96,0,1,0,4,0,0,1
97,1,1,0,1,0,1,1
98,1,2,1,2,0,1,0
99,0,2,0,2,1,0,0
100,0,3,1,1,0,0,0
101,0,3,0,1,0,0,0
102,0,1,0,1,0,1,0
103,0,3,0,2,0,0,0
104,0,3,0,2,2,0,0
105,0,3,0,1,0,0,0
106,1,3,1,1,0,0,0
107,1,3,0,1,0,0,0
108,0,3,0,2,0,0,0
109,1,3,1,1,1,0,2
110,0,1,0,2,0,0,0
111,0,3,1,0,1,0,1
112,0,3,0,1,0,0,0
113,0,3,1,1,1,0,0
114,0,3,1,1,0,0,1
115,0,3,0,1,0,0,0
116,0,3,0,4,0,0,2
117,0,2,0,1,1,0,0
118,0,1,0,1,0,1,1
119,0,3,1,0,4,2,0
120,0,2,0,1,2,0,0
121,0,3,0,1,0,0,0
122,0,2,0,2,1,0,1
123,1,2,1,2,0,0,0
124,0,1,0,3,0,1,0
125,1,3,0,0,1,0,1
126,0,3,0,1,0,0,2
127,1,3,0,1,0,0,0
128,1,3,1,1,1,1,1
129,0,3,0,2,0,0,0
130,0,3,0,2,0,0,1
131,0,3,0,1,0,0,0
132,0,3,1,2,1,0,0
133,1,2,1,1,1,0,0
134,0,2,0,1,0,0,0
135,0,2,0,1,0,0,1
136,1,1,1,1,0,2,0
137,0,1,0,2,1,0,0
138,0,3,0,0,0,0,0
139,0,1,0,1,0,0,1
140,0,3,1,1,0,2,1
141,1,3,1,1,0,0,0
142,1,3,1,1,1,0,0
143,0,3,0,1,0,0,2
144,0,2,0,1,0,0,0
145,0,2,0,1,1,1,0
146,1,3,0,1,0,0,0
147,0,3,1,0,2,2,0
148,0,2,0,2,0,2,0
149,0,2,0,2,0,0,0
150,0,2,0,3,0,0,0
151,1,1,1,1,1,0,0
152,0,3,0,3,0,0,0
153,0,3,0,2,0,2,0
154,0,3,0,1,0,0,0
155,0,1,0,3,0,1,1
156,1,3,1,0,0,0,2
157,0,3,0,1,0,0,0
158,0,3,0,1,0,0,0
